Fruit,FM0011,Apples,54,$1.19 ,$1.32 ,ea
Fruit,FM0012,Bananas,44,$0.57 ,$0.63 ,ea
Fruit,FM0013,Oranges,28,$1.88 ,$2.09 ,ea
Fruit,FM0014,Grapes,22,$2.21 ,$2.45 ,500g
Fruit,FM0015,Mangoes,43,$2.25 ,$2.50 ,ea
Fruit,FM0016,Lemons,38,$1.00 ,$1.11 ,ea
Vegetables,FM0021,Lettuce,33,$1.80 ,$2.00 ,ea
Vegetables,FM0022,Broccoli,45,$1.84 ,$2.04 ,ea
Vegetables,FM0023,Onions,62,$0.47 ,$0.52 ,ea
Vegetables,FM0024,Tomatoes,52,$0.59 ,$0.66 ,ea
Vegetables,FM0025,Mushrooms,25,$3.47 ,$3.85 ,350g
Vegetables,FM0026,Potatoes,35,$0.32 ,$0.36 ,ea
Nuts & Legumes,FM0031,Cashews,15,$2.70 ,$3.00 ,100g
Nuts & Legumes,FM0032,Almonds,18,$8.10 ,$9.00 ,1kg
Nuts & Legumes,FM0033,Walnuts,12,$2.25 ,$2.50 ,100g
Nuts & Legumes,FM0034,Lentils,16,$0.90 ,$1.00 ,1kg
Nuts & Legumes,FM0035,Kidney Beans,13,$3.15 ,$3.50 ,100g
Nuts & Legumes,FM0036,Pumpkin Seeds,19,$1.80 ,$2.00 ,100g
